,SEQN,ACD011A,ACD011B,ACD011C,ACD040,ACD110
0,62161.0,1.0,,,,
1,62163.0,,,,,5.0
2,62164.0,1.0,,,,
3,62165.0,1.0,,,,
4,62169.0,,,,,5.0
5,62170.0,1.0,,,,
6,62171.0,,,,3.0,
7,62172.0,1.0,,,,
8,62174.0,1.0,,,,
9,62176.0,1.0,,,,
10,62177.0,,,,,1.0
11,62178.0,1.0,,,,
12,62179.0,,,,,5.0
13,62180.0,1.0,,,,
14,62182.0,1.0,,,,
15,62184.0,1.0,,,,
16,62185.0,,,,3.0,
17,62186.0,1.0,,,,
18,62189.0,,,,,5.0
19,62190.0,,,,3.0,
20,62191.0,1.0,,,,
21,62193.0,1.0,,,,
22,62195.0,1.0,,,,
23,62197.0,1.0,,,,
24,62199.0,1.0,,,,
25,62200.0,,,,,4.0
26,62201.0,,,,,1.0
27,62202.0,,,,4.0,
28,62205.0,1.0,,,,
29,62206.0,1.0,,,,
30,62208.0,,,,1.0,
31,62209.0,,,,1.0,
32,62210.0,1.0,,,,
33,62211.0,,,,1.0,
34,62214.0,1.0,,,,
35,62215.0,1.0,,,,
36,62217.0,,,,3.0,
37,62218.0,1.0,,,,
38,62220.0,1.0,,,,
39,62221.0,1.0,,,,
40,62222.0,1.0,,,,
41,62223.0,,,,,5.0
42,62224.0,,,,1.0,
43,62225.0,,,,5.0,
44,62226.0,,,,2.0,
45,62227.0,1.0,,,,
46,62228.0,1.0,,,,
47,62229.0,1.0,,,,
48,62230.0,1.0,,,,
49,62231.0,,,,5.0,
50,62232.0,1.0,,,,
51,62233.0,,,,3.0,
52,62234.0,1.0,,,,
53,62236.0,,,,,5.0
54,62237.0,1.0,,,,
55,62239.0,,,,1.0,
56,62240.0,,,,5.0,
57,62242.0,1.0,,,,
58,62248.0,,,,,1.0
59,62249.0,1.0,,,,
60,62250.0,,,,3.0,
61,62251.0,,,,,4.0
62,62253.0,1.0,,,,
63,62254.0,1.0,,,,
64,62255.0,1.0,,,,
65,62256.0,1.0,,,,
66,62258.0,,,,2.0,
67,62259.0,1.0,,,,
68,62261.0,,,,2.0,
69,62264.0,1.0,,,,
70,62265.0,1.0,,,,
71,62266.0,1.0,,,,
72,62267.0,1.0,,,,
73,62268.0,,,,2.0,
74,62269.0,1.0,,,,
75,62270.0,,,,1.0,
76,62273.0,,,,,4.0
77,62275.0,,,,,5.0
78,62277.0,1.0,,,,
79,62278.0,1.0,,,,
80,62279.0,1.0,,,,
81,62280.0,1.0,,,,
82,62281.0,1.0,,,,
83,62282.0,1.0,,,,
84,62284.0,1.0,,,,
85,62285.0,1.0,,,,
86,62286.0,1.0,,,,
87,62287.0,1.0,,,,
88,62288.0,1.0,,,,
89,62289.0,1.0,,,,
90,62291.0,1.0,,9.0,,
91,62292.0,1.0,,,,
92,62293.0,1.0,,,,
93,62295.0,,,,4.0,
94,62296.0,1.0,,,,
95,62297.0,1.0,,,,
96,62298.0,1.0,,,,
97,62301.0,1.0,,,,
98,62302.0,,,,1.0,
99,62303.0,1.0,,,,
100,62307.0,1.0,,,,
101,62308.0,1.0,,,,
102,62309.0,,,,1.0,
103,62311.0,1.0,,,,
104,62312.0,,,,2.0,
105,62314.0,1.0,,,,
106,62315.0,1.0,,,,
107,62316.0,,,,4.0,
108,62317.0,1.0,,,,
